244	47	19
6	2	36
381	75	11
279	54	0
114	21	0
137	26	2
427	85	19
116	21	19
426	85	31
21	5	20
82	16	25
130	24	10
243	47	35
292	56	20
214	42	16
295	57	12
62	12	18
80	15	19
77	15	15
396	78	14
349	69	3
42	9	17
141	26	23
450	90	26
359	70	25
325	63	15
189	36	10
10	2	27
125	23	5
307	61	0
16	5	0
329	64	24
179	34	1
398	79	27
495	99	23
79	15	28
261	50	15
3	1	11
446	89	7
85	16	33
270	52	34
131	24	12
113	21	8
252	49	0
97	18	26
408	81	6
310	61	15
31	7	14
302	59	28
110	20	29
480	96	31
91	17	16
400	79	38
124	23	22
370	72	32
469	94	19
285	54	20
368	71	27
435	88	28
431	87	28
404	80	39
53	11	34
385	75	13
392	78	1
35	8	35
262	50	37
444	89	33
372	72	21
378	74	12
143	27	28
242	47	27
145	27	5
494	99	10
254	49	26
343	68	18
94	17	18
223	43	27
250	48	6
271	52	12
146	28	2
371	72	13
342	68	36
40	9	1
51	10	15
24	6	32
352	69	27
376	74	35
71	14	25
276	53	28
176	33	9
158	31	4
46	10	36
364	71	24
290	56	38
121	23	36
264	50	33
63	12	17
56	11	37
68	13	19
417	83	36
212	42	8
259	49	38
23	6	1
166	32	13
74	14	6
436	88	5
229	44	15
222	43	35
88	16	22
215	42	2
216	42	14
315	62	4
278	53	6
8	2	38
87	16	39
192	37	34
448	90	1
366	71	21
220	43	24
416	82	15
66	12	23
332	65	18
170	32	39
412	82	24
228	44	21
196	38	39
29	7	6
161	31	17
64	12	5
455	91	15
193	37	31
287	55	29
148	28	28
11	3	8
492	99	2
39	9	11
467	93	30
459	92	26
296	58	3
418	83	16
458	92	1
258	49	7
17	5	25
453	91	11
135	25	39
100	18	23
224	43	15
171	32	12
200	39	33
383	75	32
119	22	29
168	32	36
465	93	33
182	34	9
415	82	12
409	81	30
429	86	33
186	35	14
167	32	1
15	4	23
211	41	38
147	28	4
152	30	18
440	89	30
175	33	30
280	54	24
96	18	8
201	40	3
253	49	28
105	20	32
274	52	30
226	43	16
275	53	35
338	66	6
316	62	13
377	74	36
18	5	24
43	9	37
317	62	1
134	25	34
204	40	14
47	10	16
320	62	17
26	6	39
272	52	33
233	45	34
301	59	3
7	2	35
303	59	21
326	63	9
283	54	5
291	56	12
266	51	21
393	78	31
177	33	38
221	43	34
129	24	34
126	24	4
389	77	25
54	11	25
108	20	9
297	58	4
95	17	23
454	91	10
199	38	9
420	83	31
286	54	38
402	80	28
247	48	17
209	41	21
235	45	37
356	70	16
478	96	39
472	95	30
304	59	7
309	61	16
314	61	23
128	24	11
263	50	35
319	62	15
118	22	12
93	17	19
410	82	4
336	66	8
473	95	38
122	23	10
89	16	38
241	46	18
109	20	2
340	67	12
462	92	31
28	6	31
360	70	31
419	83	7
181	34	33
350	69	23
240	46	36
382	75	25
164	31	9
83	16	3
195	37	15
2	1	4
424	84	9
210	41	30
149	28	12
421	84	37
405	80	14
439	89	12
73	14	36
22	5	31
36	8	26
162	31	35
298	58	1
157	30	6
255	49	29
466	93	29
78	15	39
202	40	1
206	41	8
219	43	10
362	70	23
456	91	38
19	5	32
464	93	7
449	90	21
155	30	12
256	49	12
34	8	2
463	93	18
437	88	17
487	98	26
468	93	5
354	70	26
294	57	35
284	54	21
123	23	29
184	35	18
351	69	30
331	65	11
4	1	19
443	89	32
289	56	25
311	61	5
363	71	18
76	15	6
490	98	20
59	11	7
50	10	9
493	99	38
86	16	19
99	18	14
180	34	15
328	64	16
438	89	34
312	61	14
425	84	34
414	82	5
213	42	28
318	62	10
308	61	28
442	89	26
103	19	22
288	55	39
48	10	24
375	73	31
339	67	36
401	80	30
341	67	28
12	3	36
353	70	8
387	76	0
369	72	8
139	26	22
447	90	33
52	11	36
144	27	6
178	34	8
388	77	0
334	65	28
9	2	20
422	84	1
92	17	35
238	45	38
330	64	26
484	97	14
323	63	32
13	3	12
277	53	26
127	24	8
169	32	32
335	65	26
269	52	4
357	70	15
337	66	21
205	40	30
75	15	36
57	11	35
65	12	20
403	80	34
30	7	33
239	46	8
45	9	23
394	78	22
191	36	30
104	19	30
491	98	19
380	75	0
257	49	14
246	48	4
299	58	20
218	43	1
27	6	9
187	35	17
265	50	14
159	31	0
384	75	10
251	48	20
273	52	29
248	48	35
379	74	38
173	32	26
477	96	29
324	63	37
207	41	15
67	13	15
231	44	38
232	45	4
41	9	7
101	19	11
120	23	30
37	9	8
133	25	37
84	16	12
470	95	39
0	0	0
476	96	26
486	98	36
461	92	33
260	50	36
32	7	7
471	95	12
25	6	21
154	30	32
365	71	31
61	12	28
208	41	35
138	26	16
156	30	39
234	45	9
358	70	34
249	48	33
327	64	33
406	80	38
268	51	25
344	68	39
107	20	1
